,date,polarity,st,msgvolume,mv1t,mv10t
0,2013-12-03,0.0,,2,,
1,2013-12-04,0.2,,5,1.5,
2,2013-12-05,0.1111111111111111,0.1037037037037037,9,0.8,
3,2013-12-06,0.0,0.1037037037037037,2,-0.7777777777777778,
4,2013-12-07,0.0,0.037037037037037035,3,0.5,
5,2013-12-08,0.0,0.0,5,0.6666666666666666,
6,2013-12-09,0.4444444444444444,0.14814814814814814,9,0.8,
7,2013-12-10,0.25,0.23148148148148148,4,-0.5555555555555556,
8,2013-12-11,0.07407407407407407,0.2561728395061728,27,5.75,
9,2013-12-12,0.4,0.24135802469135803,5,-0.8148148148148148,
10,2013-12-13,0.2222222222222222,0.23209876543209876,9,0.8,1.267605633802817
11,2013-12-14,0.0,0.2074074074074074,4,-0.5555555555555556,0.5128205128205129
12,2013-12-15,0.42857142857142855,0.2169312169312169,7,0.75,0.9090909090909091
13,2013-12-16,0.14285714285714285,0.19047619047619047,7,0.0,0.9333333333333333
14,2013-12-17,0.25,0.2738095238095238,4,-0.42857142857142855,0.5
15,2013-12-18,0.25,0.21428571428571427,12,2.0,1.4814814814814816
16,2013-12-19,0.13131313131313133,0.21043771043771042,99,7.25,11.249999999999998
17,2013-12-20,0.18181818181818182,0.18771043771043772,77,-0.2222222222222222,4.325842696629214
18,2013-12-22,0.0,0.10437710437710439,4,-0.948051948051948,0.1593625498007968
19,2013-12-23,0.42857142857142855,0.20346320346320346,7,0.75,0.30701754385964913
20,2013-12-24,0.5,0.30952380952380953,8,0.14285714285714285,0.34782608695652173
21,2013-12-25,1.0,0.6428571428571429,1,-0.875,0.04366812227074236
22,2013-12-26,0.3333333333333333,0.611111111111111,12,11.0,0.5309734513274336
23,2013-12-27,0.2,0.5111111111111111,5,-0.5833333333333334,0.21645021645021645
24,2013-12-28,0.0,0.17777777777777778,6,0.2,0.26200873362445415
25,2013-12-29,0.0,0.06666666666666667,4,-0.3333333333333333,0.17316017316017315
26,2013-12-30,0.6666666666666666,0.2222222222222222,3,-0.25,0.13452914798206278
27,2013-12-31,0.0,0.2222222222222222,7,1.3333333333333333,0.5511811023622047
28,2014-01-01,0.0,0.2222222222222222,2,-0.7142857142857143,0.3508771929824561
29,2014-01-02,0.0,0.0,1,-0.5,0.18181818181818182
30,2014-01-03,0.0,0.0,2,1.0,0.4081632653061224
31,2014-01-04,0.6666666666666666,0.2222222222222222,3,0.5,0.6976744186046512
32,2014-01-05,-0.16666666666666666,0.16666666666666666,6,1.0,1.3333333333333333
33,2014-01-06,0.0,0.16666666666666666,10,0.6666666666666666,2.5641025641025643
34,2014-01-07,0.2222222222222222,0.018518518518518517,9,-0.1,2.0454545454545454
35,2014-01-08,0.0,0.07407407407407407,1,-0.8888888888888888,0.2127659574468085
36,2014-01-09,0.13333333333333333,0.11851851851851851,15,14.0,3.4090909090909087
37,2014-01-10,0.0,0.044444444444444446,3,-0.8,0.5357142857142857
38,2014-01-11,0.0,0.044444444444444446,2,-0.3333333333333333,0.3846153846153846
39,2014-01-12,0.5,0.16666666666666666,2,0.0,0.3846153846153846
40,2014-01-13,-0.125,0.125,16,7.0,3.018867924528302
41,2014-01-14,-0.13333333333333333,0.08055555555555556,15,-0.0625,2.2388059701492535
42,2014-01-15,0.0,-0.0861111111111111,6,-0.6,0.7594936708860759
43,2014-01-16,-0.2,-0.11111111111111112,5,-0.16666666666666666,0.6329113924050632
44,2014-01-17,0.04,-0.05333333333333334,25,4.0,3.378378378378378
45,2014-01-18,0.0,-0.05333333333333334,1,-0.96,0.1111111111111111
46,2014-01-19,0.0,0.013333333333333334,2,1.0,0.2222222222222222
47,2014-01-20,-0.25,-0.08333333333333333,4,1.0,0.5194805194805194
48,2014-01-21,0.0,-0.08333333333333333,8,1.0,1.0256410256410258
49,2014-01-22,0.0,-0.08333333333333333,7,-0.125,0.8333333333333333
50,2014-01-23,0.0,0.0,12,0.7142857142857143,1.348314606741573
51,2014-01-24,0.125,0.041666666666666664,8,-0.3333333333333333,0.9411764705882353
52,2014-01-25,-0.3333333333333333,-0.06944444444444443,3,-0.625,0.38461538461538464
53,2014-01-26,0.14285714285714285,-0.02182539682539682,7,1.3333333333333333,0.9333333333333333
54,2014-01-27,0.0,-0.06349206349206349,9,0.2857142857142857,1.1688311688311688
55,2014-01-28,0.4,0.18095238095238098,5,-0.4444444444444444,0.819672131147541
56,2014-01-29,-0.1111111111111111,0.09629629629629631,9,0.8,1.3846153846153846
57,2014-01-30,0.10526315789473684,0.1313840155945419,38,3.2222222222222223,5.277777777777778
58,2014-01-31,0.09090909090909091,0.02835371256423888,11,-0.7105263157894737,1.0377358490566038
59,2014-02-01,0.3333333333333333,0.17650186071238702,3,-0.7272727272727273,0.27522935779816515
60,2014-02-02,0.25,0.22474747474747472,4,0.3333333333333333,0.38095238095238093
61,2014-02-03,0.0,0.19444444444444442,6,0.5,0.6185567010309279
62,2014-02-04,0.14285714285714285,0.13095238095238096,7,0.16666666666666666,0.7368421052631579
63,2014-02-05,0.0,0.047619047619047616,6,-0.14285714285714285,0.6060606060606061
64,2014-02-06,0.2,0.11428571428571428,5,-0.16666666666666666,0.5102040816326531
65,2014-02-07,0.08333333333333333,0.09444444444444444,12,1.4,1.276595744680851
66,2014-02-08,1.0,0.42777777777777776,1,-0.9166666666666666,0.09900990099009901
67,2014-02-09,1.0,0.6944444444444445,1,0.0,0.1075268817204301
68,2014-02-10,0.2857142857142857,0.7619047619047619,7,6.0,1.25
69,2014-02-11,0.125,0.4702380952380952,8,0.14285714285714285,1.5384615384615383
