Date,OPEN,HIGH,LOW,VOLUME,CLOSE
2013-08-26,30.8105146025,30.9688873738,30.676139,5472400,30.676139
2013-08-27,30.3593951195,30.5897560356,30.1338367085,4870800,30.143435
2013-08-28,30.1002424875,30.5705587689,30.0666489473,6044000,30.412186
2013-08-29,30.3303299534,30.7492433665,30.2773633473,4600000,30.566269
2013-08-30,30.677015614,30.7155373946,30.1425387887,5851000,30.248472
2013-09-03,30.6288660454,31.2500147202,30.5758994389,8214000,30.956293
2013-09-04,30.9755532338,31.5292904651,30.9611084088,7101400,31.360759
2013-09-05,31.2981645594,31.5774414523,31.148897353,5271600,31.481137
2013-09-06,31.4907698139,31.5629968294,30.8985103085,4632600,31.288536
2013-09-09,31.327053601,31.5822530517,31.2644582361,4147800,31.490769
2013-09-10,32.1167303289,32.25155608,31.760413728,13380000,32.174513
2013-09-11,32.251556135,32.6560232772,32.1745130549,9112400,32.545274
2013-09-12,32.7234343286,33.1760553835,32.6463946188,8249800,32.781217
2013-09-13,32.6945449348,32.8101059432,32.3526726782,6584600,32.699361
2013-09-16,33.1038277613,33.1375334768,32.6993611009,5337600,32.834183
2013-09-17,32.8293665697,33.0653056128,32.7330659709,7752400,32.896778
2013-09-18,32.7282505946,33.6334883764,32.708989704,8548000,33.455332
2013-09-19,33.5949663137,33.9753598658,33.1327169881,14627600,33.46496
2013-09-20,33.3205053745,33.4649598833,32.7908446205,37157000,33.402365
2013-09-23,33.2771723667,33.4890378302,32.7619564223,11022000,33.214577
2013-09-24,33.4360710653,33.5708934471,33.3156935087,7432800,33.431255
2013-09-25,33.4312551797,33.479405721,33.0990121588,7883200,33.185684
2013-09-26,33.3349540256,33.9416544961,33.2964327264,13765000,33.869427
2013-09-27,36.0265945392,36.2336439331,35.3187735552,31182000,35.458412
2013-09-30,34.8131904508,35.2321019358,34.7457795013,14796400,34.976902
2013-10-01,35.1695067795,35.2706234437,34.6783644314,10444400,34.870969
2013-10-02,34.6879974976,34.7939302299,34.4713154863,8751600,34.61577
2013-10-03,34.6157695561,34.9094912746,34.2161155883,7144600,34.495392
2013-10-04,34.5579872545,34.8372636653,34.3413090987,7168200,34.736147
2013-10-07,34.3846465673,34.6542908447,34.3316799619,5172800,34.350937
2013-10-08,34.4087200633,34.9720860613,33.7923874592,7514200,33.840538
2013-10-09,33.9560992557,34.4135358905,33.6864544956,9282200,34.134259
2013-10-10,34.7409638078,35.3669246947,34.6398466602,11104800,35.362112
2013-10-11,35.3765560652,35.5017496844,35.0924631116,10792200,35.37174
2013-10-14,35.1261691732,35.7136121243,35.0443133987,6199800,35.660646
2013-10-15,35.5836063868,35.8099166727,35.3476673409,7951200,35.492118
2013-10-16,35.6750901248,35.9302939109,35.4969337516,8751600,35.88214
2013-10-17,35.8002836144,35.9447386053,35.670277782,9384400,35.891772
2013-10-18,35.896588341,36.5899606502,35.7617625904,9830800,36.561071
2013-10-21,36.5418103998,36.7729372332,36.354021894,9992600,36.638111
2013-10-22,36.6477434964,36.8307159363,36.3636505392,6818800,36.575516
2013-10-23,36.3732822402,36.5658868083,36.1662328471,4762000,36.382911
2013-10-24,36.4069885409,36.488844316,36.2288283134,5626400,36.358838
2013-10-25,36.3829110511,36.7681206694,36.2817939055,6889000,36.450322
2013-10-28,36.4743994908,36.5851482869,36.2914270501,6136800,36.358838
2013-10-29,36.4888442634,36.6814488343,36.3732827727,4201000,36.551443
2013-10-30,36.8884988341,37.0233207342,36.5707001595,6314200,36.657372
2013-10-31,36.6140373792,36.7247828031,36.180677221,8184400,36.479215
2013-11-01,36.4984757516,36.8018257426,36.4262487378,4221600,36.623666
2013-11-04,36.7536761097,36.8547927745,36.4166165476,3609200,36.772937
2013-11-05,36.6140380639,37.2303706716,36.5369945017,6320400,37.172588
2013-11-06,37.3940861675,37.3940861675,36.6670047614,3945400,36.960726
2013-11-07,37.1725873258,37.2207412366,36.4310649619,6250800,36.450322
